uid,text,label,split
3,pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan,0.0,train
41,madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,0.0,train
48,manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,2.0,train
64,krishna jcb full trend chal rahi aa nan,2.0,train
66,loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,2.0,train
68,bhosdik tum pechvad ki tatti hi rahog bc nan,0.0,train
90,love u bhaijan ... ♥♥ father + son bharat iambharat bharatthiseid best pic entir promot mashallah,2.0,train
99,tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,0.0,train
101,nolo weni anker gae weekend 😂😂😂😂😂 nan,2.0,train
104,aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,0.0,train
106,omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0.0,train
146,ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,0.0,train
150,saf babi sorri onlin hope sleep well though love nan,2.0,train
157,real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan,0.0,train
167,mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,0.0,train
174,kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,0.0,train
175,abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,0.0,train
182,well chara chor ke chele news year old nan,0.0,train
216,twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,2.0,train
252,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,0.0,train
266,mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,0.0,train
282,dev da tmr new movi song ami tmk valobasi realli love ❤😘 lot 😍😘☺❤💓 nan,1.0,train
287,abe bc kya le jayeng yeh toh batah abhi 😜 pakvwi babaji ka thullu 😂,2.0,train
301,hope see babi weekend high doubt 🥺 ugh nan,1.0,train
303,teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,0.0,train
313,isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,1.0,train
331,jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi,0.0,train
337,rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,0.0,train
344,hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,0.0,train
347,io sale today nxttakeoverxxv entranc mask qualiti nice 👍🏻 even back side come soon nan,2.0,train
348,ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,1.0,train
352,gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,1.0,train
353,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,1.0,train
359,ahmad884 1971 😂🤣🤣 lulli hoti nahi khadi baten karalo badi badi,1.0,train
362,dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,1.0,train
373,beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h,0.0,train
404,one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein,2.0,train
414,mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,0.0,train
428,jai bheem great news bahujan kumbkarnaa becoz happen kick st,1.0,train
430,u love one person gave fuck u dead - ) nan,1.0,train
434,zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,2.0,train
439,color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,2.0,train
441,rohit bhai big fan want meet nan,2.0,train
450,lanat bhejta hn tun pe tmare harami leader niazi pe nan,0.0,train
451,dont slay 🤣🤣🤣🤣🤣 inta serious nahi leneka segment ko segment pure fun 80 % nonsens cast make sens nan,0.0,train
452,kutta bhonkn lga bhaiyo firs sale gale patt,0.0,train
462,world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,0.0,train
466,bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,1.0,train
489,scene sahil propos vedika dialogu magic inde coz n't heard,2.0,train
495,bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1.0,train
497,scratch kfc ke bhi auqaat nahi rahe today 's defeat - pesay doob gaye sarfi ke chakaar main andaay,0.0,train
505,dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,2.0,train
508,muslim sab e qadar mubarak 💓💓💓,2.0,train
512,rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,1.0,train
531,aaiy aapka intezaar tha damn ! ! ! ! ! kitna khoobsurat hai yeh ladka mashallah 😘😘😘 ca n't wait new season,2.0,train
532,zeeshan09 love u bhaijan father + son bharat iambharat best pic entir promot mashallah 👌♥🔥,2.0,train
559,saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,0.0,train
561,mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,0.0,train
566,dhol serious one best post seen bravo nd respect nan,2.0,train
569,may allah bless us strong imaan taqwa pieti pure heart good manner 🌹 ya allah give eye se nan,2.0,train
570,chiller man give big jhtka nsecoloscam made laugh stock,1.0,train
577,u thing ppl u ador u want 's transact 's give & take u 's u r su nan,1.0,train
583,apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,0.0,train
