text,label,source,lang_pair,text_original,noise_level
1397101600460529665,1,hasoc2021,hi-en,1397101600460529665,medium
1397101827116703744,0,hasoc2021,hi-en,1397101827116703744,medium
1397101939674869763,1,hasoc2021,hi-en,1397101939674869763,medium
1397102700173488u33,1,hasoc2021,hi-en,1397102700173488133,medium
1397102906004754433,1,hasoc2021,hi-en,1397102906004754433,medium
1397109126577197061,0,hasoc2021,hi-en,1397109126577197061,medium
1397112846085853186,1,hasoc2021,hi-en,1397112846085853186,medium
1397115375985127426,1,hasoc2021,hi-en,1397115375985127426,medium
1397182212055859202,0,hasoc2021,hi-en,1397182212055859202,medium
1397104098n85849091,1,hasoc2021,hi-en,1397104098885849091,medium
1397417268569509890,0,hasoc2021,hi-en,1397417268569509890,medium
1397160609704153088,1,hasoc2021,hi-en,1397160609704153088,medium
1397240026866536451,1,hasoc2021,hi-en,1397240026866536451,medium
1397140535169544194,1,hasoc2021,hi-en,1397140535169544194,medium
1397102089407397890,0,hasoc2021,hi-en,1397102089407397890,medium
1397818628746080256,0,hasoc2021,hi-en,1397818628746080256,medium
1397107463212597249,0,hasoc2021,hi-en,1397107463212597249,medium
1397102193069617154,1,hasoc2021,hi-en,1397102193069617154,medium
1397102220806541317,0,hasoc2021,hi-en,1397102220806541317,medium
1397102872555188227,0,hasoc2021,hi-en,1397102872555188227,medium
1397102373282095111,0,hasoc2021,hi-en,1397102373282095111,medium
1397246116236824583,1,hasoc2021,hi-en,1397246116236824583,medium
1397102498708541440,0,hasoc2021,hi-en,1397102498708541440,medium
1397145901953552385,0,hasoc2021,hi-en,1397145901953552385,medium
1397212890273402881 aah,1,hasoc2021,hi-en,1397212890273402881,medium
1397236212088414215,0,hasoc2021,hi-en,1397236212088414215,medium
1397450054596800514,0,hasoc2021,hi-en,1397450054596800514,medium
1397816487688105989,0,hasoc2021,hi-en,1397816487688105989,medium
1397111325604552705,1,hasoc2021,hi-en,1397111325604552705,medium
1397138467402883073,1,hasoc2021,hi-en,1397138467402883073,medium
1400902978970832900,0,hasoc2021,hi-en,1400902978970832900,medium
1397102580556312580,0,hasoc2021,hi-en,1397102580556312580,medium
1397104943774027779,1,hasoc2021,hi-en,1397104943774027779,medium
1397102834273841152,0,hasoc2021,hi-en,1397102834273841152,medium
1397104386308902912,0,hasoc2021,hi-en,1397104386308902912,medium
1397573787965591554,0,hasoc2021,hi-en,1397573787965591554,medium
1397102882353156096,0,hasoc2021,hi-en,1397102882353156096,medium
1397107873075761154,1,hasoc2021,hi-en,1397107873075761154,medium
1397200455508320263,0,hasoc2021,hi-en,1397200455508320263,medium
1397240220286922756,1,hasoc2021,hi-en,1397240220286922756,medium
1397103917335408643,0,hasoc2021,hi-en,1397103917335408643,medium
1397105448382173184,1,hasoc2021,hi-en,1397105448382173184,medium
1397169215962980355,1,hasoc2021,hi-en,1397169215962980355,medium
1397104737506320385,1,hasoc2021,hi-en,1397104737506320385,medium
1397159526260895751,1,hasoc2021,hi-en,1397159526260895751,medium
1397106608547647490,1,hasoc2021,hi-en,1397106608547647490,medium
1397178922991710210,1,hasoc2021,hi-en,1397178922991710210,medium
1397107000752762884,1,hasoc2021,hi-en,1397107000752762884,medium
1397108280044965889 uh,1,hasoc2021,hi-en,1397108280044965889,medium
1397170987074871304,1,hasoc2021,hi-en,1397170987074871304,medium
1397109091433029636,0,hasoc2021,hi-en,1397109091433029636,medium
13971209813788672 08,0,hasoc2021,hi-en,1397120981378867208,medium
1397151320436625418,0,hasoc2021,hi-en,1397151320436625418,medium
1397226663868522500,0,hasoc2021,hi-en,1397226663868522500,medium
1397239652931735552,0,hasoc2021,hi-en,1397239652931735552,medium
1397245607014805507,1,hasoc2021,hi-en,1397245607014805507,medium
1397648037535571968,1,hasoc2021,hi-en,1397648037535571968,medium
1397111694904623106,1,hasoc2021,hi-en,1397111694904623106,medium
1397178384401141764,1,hasoc2021,hi-en,1397178384401141764,medium
1397114601150550017,1,hasoc2021,hi-en,1397114601150550017,medium
1397130151813533697,1,hasoc2021,hi-en,1397130151813533697,medium
1397148823441473541,1,hasoc2021,hi-en,1397148823441473541,medium
1397211357662093324,0,hasoc2021,hi-en,1397211357662093324,medium
1397227544454e38210,0,hasoc2021,hi-en,1397227544454238210,medium
1397123585462792192,0,hasoc2021,hi-en,1397123585462792192,medium
1397815459349598209,0,hasoc2021,hi-en,1397815459349598209,medium
1397130 468651278342,0,hasoc2021,hi-en,1397130468651278342,medium
1397420909133139969,0,hasoc2021,hi-en,1397420909133139969,medium
13978176001769s2150,0,hasoc2021,hi-en,1397817600176902150,medium
1397262170404974592,1,hasoc2021,hi-en,1397262170404974592,medium
1397133266256232458,0,hasoc2021,hi-en,1397133266256232458,medium
1397815794080251910,0,hasoc2021,hi-en,1397815794080251910,medium
1397147487849181184,0,hasoc2021,hi-en,1397147487849181184,medium
1397136574874222m93,0,hasoc2021,hi-en,1397136574874222593,medium
139781 5383994761220,0,hasoc2021,hi-en,1397815383994761220,medium
1397149767340232705,0,hasoc2021,hi-en,1397149767340232705,medium
1397155165296152580,1,hasoc2021,hi-en,1397155165296152580,medium
1397139266887585794,1,hasoc2021,hi-en,1397139266887585794,medium
1397151495062269955,0,hasoc2021,hi-en,1397151495062269955,medium
1397155911609m16736,0,hasoc2021,hi-en,1397155911609716736,medium
1397819197598564352,1,hasoc2021,hi-en,1397819197598564352,medium
1397157849608847360,1,hasoc2021,hi-en,1397157849608847360,medium
1397169849797779457,1,hasoc2021,hi-en,1397169849797779457,medium
1397168173284139012,0,hasoc2021,hi-en,1397168173284139012,medium
1397572479611129868,0,hasoc2021,hi-en,1397572479611129868,medium
1397169435983564800,0,hasoc2021,hi-en,1397169435983564800,medium
1397180328574287884,1,hasoc2021,hi-en,1397180328574287884,medium
1397193073835249668,1,hasoc2021,hi-en,1397193073835249668,medium
1397201412237533190,1,hasoc2021,hi-en,1397201412237533190,medium
1397235232621932545,0,hasoc2021,hi-en,1397235232621932545,medium
1397235737980985350,0,hasoc2021,hi-en,1397235737980985350,medium
1397235825193127943,1,hasoc2021,hi-en,1397235825193127943,medium
1397236075274309634,1,hasoc2021,hi-en,1397236075274309634,medium
1397400864839536641,0,hasoc2021,hi-en,1397400864839536641,medium
1397236650271461381,1,hasoc2021,hi-en,1397236650271461381,medium
139r236759814152198,0,hasoc2021,hi-en,1397236759814152198,medium
1397236792408039430,1,hasoc2021,hi-en,1397236792408039430,medium
1397237183384330241,1,hasoc2021,hi-en,1397237183384330241,medium
1397243795100610565,1,hasoc2021,hi-en,1397243795100610565,medium
1397286354103390208,1,hasoc2021,hi-en,1397286354103390208,medium
1397237259863273476,1,hasoc2021,hi-en,1397237259863273476,medium
1397237714609754114,1,hasoc2021,hi-en,1397237714609754114,medium
1397237891235987461,0,hasoc2021,hi-en,1397237891235987461,medium
13972379754283089s2,0,hasoc2021,hi-en,1397237975428308992,medium
1397241298097147920,1,hasoc2021,hi-en,1397241298097147920,medium
1397241784154181641,1,hasoc2021,hi-en,1397241784154181641,medium
1397242797120438273,0,hasoc2021,hi-en,1397242797120438273,medium
1397244463018385412,1,hasoc2021,hi-en,1397244463018385412,medium
1397244721219637253,1,hasoc2021,hi-en,1397244721219637253,medium
1397245301413584896,0,hasoc2021,hi-en,1397245301413584896,medium
1397268965768896512,1,hasoc2021,hi-en,1397268965768896512,medium
1397490428857884673,1,hasoc2021,hi-en,1397490428857884673,medium
1397244704475987971,0,hasoc2021,hi-en,1397244704475987971,medium
1397245613079728130,1,hasoc2021,hi-en,1397245613079728130,medium
1397245817556242433,1,hasoc2021,hi-en,1397245817556242433,medium
1397268720892841985,1,hasoc2021,hi-en,1397268720892841985,medium
1397249451308163072,1,hasoc2021,hi-en,1397249451308163072,medium
1397253992975978496,0,hasoc2021,hi-en,1397253992975978496,medium
1397269009775562753,0,hasoc2021,hi-en,1397269009775562753,medium
1397273742091317248,0,hasoc2021,hi-en,1397273742091317248,medium
1397256994713702402,0,hasoc2021,hi-en,1397256994713702402,medium
1397259565176025088,0,hasoc2021,hi-en,1397259565176025088,medium
1397260509787820035,0,hasoc2021,hi-en,1397260509787820035,medium
1397260965255606272,0,hasoc2021,hi-en,1397260965255606272,medium
1397263616131276800,0,hasoc2021,hi-en,1397263616131276800,medium
1397264316273807360,1,hasoc2021,hi-en,1397264316273807360,medium
1397264659305046018,0,hasoc2021,hi-en,1397264659305046018,medium
1397273586222522368,1,hasoc2021,hi-en,1397273586222522368,medium
1397273959737946117,0,hasoc2021,hi-en,1397273959737946117,medium
1397276107649568770,0,hasoc2021,hi-en,1397276107649568770,medium
1397278166499004418,1,hasoc2021,hi-en,1397278166499004418,medium
1397283599859130371,0,hasoc2021,hi-en,1397283599859130371,medium
1397296420089077761,0,hasoc2021,hi-en,1397296420089077761,medium
13973117 24580007944,1,hasoc2021,hi-en,1397311724580007944,medium
1397329239301447681,0,hasoc2021,hi-en,1397329239301447681,medium
1397340762530992130,1,hasoc2021,hi-en,1397340762530992130,medium
1397343012074659841,0,hasoc2021,hi-en,1397343012074659841,medium
1397363184151846917,1,hasoc2021,hi-en,1397363184151846917,medium
1397374800096419841,0,hasoc2021,hi-en,1397374800096419841,medium
1397408205521686532,0,hasoc2021,hi-en,1397408205521686532,medium
1397433556893270022,0,hasoc2021,hi-en,1397433556893270022,medium
1397483329260122112,0,hasoc2021,hi-en,1397483329260122112,medium
1397524676025339908,0,hasoc2021,hi-en,1397524676025339908,medium
1397237960400060422,1,hasoc2021,hi-en,1397237960400060422,medium
1397242427098992641 err,0,hasoc2021,hi-en,1397242427098992641,medium
139724363m235335172,0,hasoc2021,hi-en,1397243637235335172,medium
1397271975068770304,1,hasoc2021,hi-en,1397271975068770304,medium
1397489573 039513602,0,hasoc2021,hi-en,1397489573039513602,medium
1397236059860258816,0,hasoc2021,hi-en,1397236059860258816,medium
1397236075253452804,1,hasoc2021,hi-en,1397236075253452804,medium
1397239421817298944,1,hasoc2021,hi-en,1397239421817298944,medium
1397240300133888013,0,hasoc2021,hi-en,1397240300133888013,medium
1397240964872384525,0,hasoc2021,hi-en,1397240964872384525,medium
1397240834534293505,1,hasoc2021,hi-en,1397240834534293505,medium
1397244012344582144,1,hasoc2021,hi-en,1397244012344582144,medium
1397244841004838912,1,hasoc2021,hi-en,1397244841004838912,medium
1397258765905252352,0,hasoc2021,hi-en,1397258765905252352,medium
13972593951095849 02,0,hasoc2021,hi-en,1397259395109584902,medium
1397259829740072961 arre,1,hasoc2021,hi-en,1397259829740072961,medium
1397260325427113991,0,hasoc2021,hi-en,1397260325427113991,medium
1397262177254268933,1,hasoc2021,hi-en,1397262177254268933,medium
1397267722690437122,0,hasoc2021,hi-en,1397267722690437122,medium
1397269067648552966,1,hasoc2021,hi-en,1397269067648552966,medium
1397270485553999877,1,hasoc2021,hi-en,1397270485553999877,medium
1397273554618437633,1,hasoc2021,hi-en,1397273554618437633,medium
1397276262440206343,0,hasoc2021,hi-en,1397276262440206343,medium
1397281446750932992,0,hasoc2021,hi-en,1397281446750932992,medium
1397282952300486658,1,hasoc2021,hi-en,1397282952300486658,medium
1397293500467617792,0,hasoc2021,hi-en,1397293500467617792,medium
1397293774393331713,0,hasoc2021,hi-en,1397293774393331713,medium
1397303237997256705,1,hasoc2021,hi-en,1397303237997256705,medium
1397310833256927234,1,hasoc2021,hi-en,1397310833256927234,medium
1397311442097885185,0,hasoc2021,hi-en,1397311442097885185,medium
1397326350365597700,0,hasoc2021,hi-en,1397326350365597700,medium
1397334733135048705,1,hasoc2021,hi-en,1397334733135048705,medium
1397402493278064644,0,hasoc2021,hi-en,1397402493278064644,medium
