text,label,source,lang_pair,text_original,noise_level
1397101600460529665,1,hasoc2021,hi-en,1397101600460529665,high
13971018 27116703744,0,hasoc2021,hi-en,1397101827116703744,high
1397101939674869763,1,hasoc2021,hi-en,1397101939674869763,high
1397102700173488133 err,1,hasoc2021,hi-en,1397102700173488133,high
1397102 906004754433,1,hasoc2021,hi-en,1397102906004754433,high
1397109126577197061,0,hasoc2021,hi-en,1397109126577197061,high
1397112846085853186,1,hasoc2021,hi-en,1397112846085853186,high
139711537598m127426,1,hasoc2021,hi-en,1397115375985127426,high
1397182212055859202,0,hasoc2021,hi-en,1397182212055859202,high
1397104098885849091,1,hasoc2021,hi-en,1397104098885849091,high
1397417268569509890,0,hasoc2021,hi-en,1397417268569509890,high
1397160609704153088,1,hasoc2021,hi-en,1397160609704153088,high
1397240026866536451,1,hasoc2021,hi-en,1397240026866536451,high
1397140535169544194,1,hasoc2021,hi-en,1397140535169544194,high
1397102089407397890,0,hasoc2021,hi-en,1397102089407397890,high
1397818628746080256,0,hasoc2021,hi-en,1397818628746080256,high
1397107463212597249,0,hasoc2021,hi-en,1397107463212597249,high
1397102193069617154,1,hasoc2021,hi-en,1397102193069617154,high
1397102220806541317,0,hasoc2021,hi-en,1397102220806541317,high
1397102872555188227,0,hasoc2021,hi-en,1397102872555188227,high
u397102373282095111,0,hasoc2021,hi-en,1397102373282095111,high
1397246116236824583,1,hasoc2021,hi-en,1397246116236824583,high
1397102498708541440,0,hasoc2021,hi-en,1397102498708541440,high
1397145901953552385,0,hasoc2021,hi-en,1397145901953552385,high
1397212890273402881,1,hasoc2021,hi-en,1397212890273402881,high
1397236212088414215,0,hasoc2021,hi-en,1397236212088414215,high
1397450054596800514 umm,0,hasoc2021,hi-en,1397450054596800514,high
1397816487688105989,0,hasoc2021,hi-en,1397816487688105989,high
1397111325604552705,1,hasoc2021,hi-en,1397111325604552705,high
1397138467 402883073,1,hasoc2021,hi-en,1397138467402883073,high
1400902978970832900,0,hasoc2021,hi-en,1400902978970832900,high
1397102580556312580,0,hasoc2021,hi-en,1397102580556312580,high
1397104943774027779,1,hasoc2021,hi-en,1397104943774027779,high
1397102834273841152,0,hasoc2021,hi-en,1397102834273841152,high
1397104386308902912,0,hasoc2021,hi-en,1397104386308902912,high
1397573787965591554,0,hasoc2021,hi-en,1397573787965591554,high
1397102882353156096,0,hasoc2021,hi-en,1397102882353156096,high
1397107873075761154 uh,1,hasoc2021,hi-en,1397107873075761154,high
1397200455508320263,0,hasoc2021,hi-en,1397200455508320263,high
1397240220286922756,1,hasoc2021,hi-en,1397240220286922756,high
13971039173354086m3,0,hasoc2021,hi-en,1397103917335408643,high
1397105448382173184,1,hasoc2021,hi-en,1397105448382173184,high
13971692m5962980355,1,hasoc2021,hi-en,1397169215962980355,high
1397104737506320385,1,hasoc2021,hi-en,1397104737506320385,high
1397159526260895751,1,hasoc2021,hi-en,1397159526260895751,high
1397106608547647490,1,hasoc2021,hi-en,1397106608547647490,high
1397178922991710210,1,hasoc2021,hi-en,1397178922991710210,high
1397107000752762884,1,hasoc2021,hi-en,1397107000752762884,high
1397108280044a65889,1,hasoc2021,hi-en,1397108280044965889,high
1397170987074871304,1,hasoc2021,hi-en,1397170987074871304,high
1397109091433029636,0,hasoc2021,hi-en,1397109091433029636,high
1397120981378867208,0,hasoc2021,hi-en,1397120981378867208,high
1397151320436625418,0,hasoc2021,hi-en,1397151320436625418,high
1397226663868522500,0,hasoc2021,hi-en,1397226663868522500,high
1397239652931735552,0,hasoc2021,hi-en,1397239652931735552,high
1397245607014805507,1,hasoc2021,hi-en,1397245607014805507,high
1397648037535571968,1,hasoc2021,hi-en,1397648037535571968,high
1397111694904623106,1,hasoc2021,hi-en,1397111694904623106,high
1397178384401141764,1,hasoc2021,hi-en,1397178384401141764,high
1397114601150550017,1,hasoc2021,hi-en,1397114601150550017,high
1397130151813533697,1,hasoc2021,hi-en,1397130151813533697,high
1397148823441473541,1,hasoc2021,hi-en,1397148823441473541,high
1397211357662093324,0,hasoc2021,hi-en,1397211357662093324,high
1397227544454238210,0,hasoc2021,hi-en,1397227544454238210,high
1397123585462792192,0,hasoc2021,hi-en,1397123585462792192,high
1397815459349598209,0,hasoc2021,hi-en,1397815459349598209,high
1397130468651278342,0,hasoc2021,hi-en,1397130468651278342,high
1397420909133139969,0,hasoc2021,hi-en,1397420909133139969,high
1397817600176902150,0,hasoc2021,hi-en,1397817600176902150,high
1397262170404974592,1,hasoc2021,hi-en,1397262170404974592,high
1397133266256232458,0,hasoc2021,hi-en,1397133266256232458,high
1397815794080251910,0,hasoc2021,hi-en,1397815794080251910,high
1397147487849181184,0,hasoc2021,hi-en,1397147487849181184,high
1397136574874222593,0,hasoc2021,hi-en,1397136574874222593,high
1397815383994761220,0,hasoc2021,hi-en,1397815383994761220,high
1397149767340232705,0,hasoc2021,hi-en,1397149767340232705,high
1397155165296152580,1,hasoc2021,hi-en,1397155165296152580,high
1397139266887585794,1,hasoc2021,hi-en,1397139266887585794,high
1397151495062269955,0,hasoc2021,hi-en,1397151495062269955,high
1397155911609716736,0,hasoc2021,hi-en,1397155911609716736,high
1397819197598564352,1,hasoc2021,hi-en,1397819197598564352,high
1397157849608847360,1,hasoc2021,hi-en,1397157849608847360,high
13971698i9797779457,1,hasoc2021,hi-en,1397169849797779457,high
1397168173284139012,0,hasoc2021,hi-en,1397168173284139012,high
1397572479611129868,0,hasoc2021,hi-en,1397572479611129868,high
1397169435983564800,0,hasoc2021,hi-en,1397169435983564800,high
1397180328574287884 hmm,1,hasoc2021,hi-en,1397180328574287884,high
1397193073835249668,1,hasoc2021,hi-en,1397193073835249668,high
1397201412237533190,1,hasoc2021,hi-en,1397201412237533190,high
1397235232621932545,0,hasoc2021,hi-en,1397235232621932545,high
1397235737980985350,0,hasoc2021,hi-en,1397235737980985350,high
1397235825193127943,1,hasoc2021,hi-en,1397235825193127943,high
1397236075274309634,1,hasoc2021,hi-en,1397236075274309634,high
1397400864839536641,0,hasoc2021,hi-en,1397400864839536641,high
1397236650271461381,1,hasoc2021,hi-en,1397236650271461381,high
1397236759814152198,0,hasoc2021,hi-en,1397236759814152198,high
1397236792408039430,1,hasoc2021,hi-en,1397236792408039430,high
1397237183384330241,1,hasoc2021,hi-en,1397237183384330241,high
