text,label,source,lang_pair,text_original,noise_level
1397101600460529665,1,hasoc2021,hi-en,1397101600460529665,low
1397101i27116703744,0,hasoc2021,hi-en,1397101827116703744,low
1397101939674869763,1,hasoc2021,hi-en,1397101939674869763,low
1397102700173488133,1,hasoc2021,hi-en,1397102700173488133,low
1397102906004754433,1,hasoc2021,hi-en,1397102906004754433,low
13 97109126577197061,0,hasoc2021,hi-en,1397109126577197061,low
n397112846085853186,1,hasoc2021,hi-en,1397112846085853186,low
1397115375985127426,1,hasoc2021,hi-en,1397115375985127426,low
1397182212055859202,0,hasoc2021,hi-en,1397182212055859202,low
1397104098885849091,1,hasoc2021,hi-en,1397104098885849091,low
1397417268569509890,0,hasoc2021,hi-en,1397417268569509890,low
1397160609704153088,1,hasoc2021,hi-en,1397160609704153088,low
1397240026866536451,1,hasoc2021,hi-en,1397240026866536451,low
1397140535169544194,1,hasoc2021,hi-en,1397140535169544194,low
1397102089407397890,0,hasoc2021,hi-en,1397102089407397890,low
1397818628746080256,0,hasoc2021,hi-en,1397818628746080256,low
1397107463212597249,0,hasoc2021,hi-en,1397107463212597249,low
1397102193069617154,1,hasoc2021,hi-en,1397102193069617154,low
1397102220806541317,0,hasoc2021,hi-en,1397102220806541317,low
13971028725r5188227,0,hasoc2021,hi-en,1397102872555188227,low
1397102373282095111,0,hasoc2021,hi-en,1397102373282095111,low
1397246116236824583,1,hasoc2021,hi-en,1397246116236824583,low
1397102498708541440,0,hasoc2021,hi-en,1397102498708541440,low
1397145901953552385,0,hasoc2021,hi-en,1397145901953552385,low
13972128902r3402881,1,hasoc2021,hi-en,1397212890273402881,low
1397236212088414215,0,hasoc2021,hi-en,1397236212088414215,low
1397450054596800514 hmm,0,hasoc2021,hi-en,1397450054596800514,low
1397816487688105989,0,hasoc2021,hi-en,1397816487688105989,low
1397111325604552705,1,hasoc2021,hi-en,1397111325604552705,low
1397138467402883073,1,hasoc2021,hi-en,1397138467402883073,low
1400902978970832900,0,hasoc2021,hi-en,1400902978970832900,low
1397102580556312580,0,hasoc2021,hi-en,1397102580556312580,low
1397104943774027779,1,hasoc2021,hi-en,1397104943774027779,low
1397102834273841152,0,hasoc2021,hi-en,1397102834273841152,low
1397104386308902912,0,hasoc2021,hi-en,1397104386308902912,low
1397573787965591554,0,hasoc2021,hi-en,1397573787965591554,low
1397102882353156096,0,hasoc2021,hi-en,1397102882353156096,low
1397107873075761154,1,hasoc2021,hi-en,1397107873075761154,low
1397200455508320263,0,hasoc2021,hi-en,1397200455508320263,low
1397240220286922756,1,hasoc2021,hi-en,1397240220286922756,low
1397103917335408643,0,hasoc2021,hi-en,1397103917335408643,low
1397105448382173184,1,hasoc2021,hi-en,1397105448382173184,low
1397169215962980355,1,hasoc2021,hi-en,1397169215962980355,low
1397104737506320385,1,hasoc2021,hi-en,1397104737506320385,low
1397159526260895751,1,hasoc2021,hi-en,1397159526260895751,low
1397106608547647490,1,hasoc2021,hi-en,1397106608547647490,low
1397178922991710210,1,hasoc2021,hi-en,1397178922991710210,low
1397107000752762884,1,hasoc2021,hi-en,1397107000752762884,low
1397108280044965889,1,hasoc2021,hi-en,1397108280044965889,low
1397170987074871304,1,hasoc2021,hi-en,1397170987074871304,low
1397109091433029636,0,hasoc2021,hi-en,1397109091433029636,low
1397120981378867208,0,hasoc2021,hi-en,1397120981378867208,low
1397151320436625418,0,hasoc2021,hi-en,1397151320436625418,low
1397226663868522500,0,hasoc2021,hi-en,1397226663868522500,low
1397239652931735552,0,hasoc2021,hi-en,1397239652931735552,low
1397245607014805507,1,hasoc2021,hi-en,1397245607014805507,low
1397648037535571968,1,hasoc2021,hi-en,1397648037535571968,low
1397111694904623106,1,hasoc2021,hi-en,1397111694904623106,low
1397178384401141764,1,hasoc2021,hi-en,1397178384401141764,low
1397114601150550017,1,hasoc2021,hi-en,1397114601150550017,low
1397130151813533697,1,hasoc2021,hi-en,1397130151813533697,low
1397148823441473541,1,hasoc2021,hi-en,1397148823441473541,low
1397211357662093324,0,hasoc2021,hi-en,1397211357662093324,low
1397227544454238210,0,hasoc2021,hi-en,1397227544454238210,low
1397123585462792192,0,hasoc2021,hi-en,1397123585462792192,low
1397815459349598209,0,hasoc2021,hi-en,1397815459349598209,low
1397130468651278342,0,hasoc2021,hi-en,1397130468651278342,low
1397420909133139969,0,hasoc2021,hi-en,1397420909133139969,low
1397817600176902150,0,hasoc2021,hi-en,1397817600176902150,low
